Supercharger,Street Address,City,State,city_state,Zip,Country,Stalls,GPS,Elev,Status,Open Date,Tesla,Thread
"Beatty, NV",700 US-95,Beatty,NV,Beatty_NV,89003,USA,8,"36.913718, -116.754371","1,011",Open,09-Feb-16,SC,thread
"Slidell, LA",Fremaux Town Center 1303 Town Center Pkwy,Slidell,LA,Slidell_LA,70458,USA,8,"30.266552, -89.760156",3,Open,06-Feb-16,SC,thread
"Fresno, CA",6709 North Riverside Dr,Fresno,CA,Fresno_CA,93704,USA,10,"36.835455, -119.91058",91,Open,29-Jan-16,SC,thread
"Buttonwillow, CA",20673 Tracy Ave,Buttonwillow,CA,Buttonwillow_CA,93206,USA,10,"35.400105, -119.397796",90,Open,29-Jan-16,SC,thread
"Mammoth Lakes, CA",165 Old Mammoth Rd,Mammoth Lakes,CA,Mammoth Lakes_CA,93546,USA,8,"37.644544, -118.965875","2,390",Open,21-Jan-16,SC,thread
"Allentown, PA","Tilghman Square, 4680 Broadway",Allentown,PA,Allentown_PA,18104,USA,8,"40.588102, -75.559904",125,Open,21-Jan-16,SC,thread
"Ukiah, CA",310 S State St,Ukiah,CA,Ukiah_CA,95482,USA,8,"39.148694, -123.20787",193,Open,13-Jan-16,SC,thread
"Louisville, KY",3101 Bardstown Rd,Louisville,KY,Louisville_KY,40205,USA,8,"38.211846, -85.673087",151,Open,30-Dec-15,SC,thread
"Victoria, TX",3107 South Laurent St,Victoria,TX,Victoria_TX,77901,USA,6,"28.766853, -96.978988",23,Open,30-Dec-15,SC,thread
"Kelowna, BC","Best Western, 2402 Hwy 97 N",Kelowna,BC,Kelowna_BC,V1X 4J1,Canada,8,"49.885795, -119.429273",376,Open,30-Dec-15,SC,thread
"Wytheville, VA",165 Malin Dr.,Wytheville,VA,Wytheville_VA,,USA,6,"36.945795, -81.054406",683,Open,30-Dec-15,SC,thread
"Colorado Springs, CO",215 North Cascade Ave,Colorado Springs,CO,Colorado Springs_CO,80903,USA,8,"38.837573, -104.824907","1,835",Open,29-Dec-15,SC,thread
